"content","review_date","score","service","segment","customer_id","source"
"Our new employees completed single sign-on without any assistance this morning. The onboarding experience was excellent.","2026-08-06","5","Identity","SMB","ACCT-001","support-ticket:FB-121"
"I can locate customer conversations with a short phrase from the discussion. The improved search is saving me time every shift.","2026-08-06","5","Search","SMB","ACCT-013","support-ticket:FB-157"
"Signing in with the company account fails on every second attempt. It is becoming frustrating to explain this workaround to each new employee.","2026-08-07","","Identity","Mid-market","ACCT-029","in-app-survey:FB-005"
"The same webhook event arrived four times with different delivery identifiers. It created duplicate jobs in our automation system.","2026-08-07","","Integrations","Enterprise","ACCT-066","success-call:FB-066"
"Our subscription renewed once for the expected amount, and the invoice matched the bank transaction exactly. Reconciliation was easy this month.","2026-08-07","5","Billing","Mid-market","ACCT-031","support-ticket:FB-127"
"Our agents can find matching case titles on the first page again. Search is finally working the way we expected.","2026-08-07","","Search","Enterprise","ACCT-066","success-call:FB-162"
"The SAML callback returns an expired session message immediately, even when I have only just opened the sign-in window.","2026-08-08","","Identity","Enterprise","ACCT-054","success-call:FB-006"
"Webhook delivery is delayed by nearly twenty minutes during busy periods. Our customer notifications are going out far too late.","2026-08-08","2","Integrations","SMB","ACCT-019","support-ticket:FB-067"
"Our finance team appreciates that the renewal invoice and payment receipt now agree. Billing has been reliable for our account.","2026-08-08","","Billing","Mid-market","ACCT-036","success-call:FB-132"
"The relevant support case appears first even when I enter only a few distinctive words. Very pleased with the search improvements.","2026-08-08","5","Search","SMB","ACCT-022","support-ticket:FB-166"
"Our card was charged twice for the same monthly subscription. Both transactions have settled, and finance needs the duplicate payment reversed.","2026-08-09","2","Billing","Mid-market","ACCT-025","support-ticket:FB-025"
"Searching for an exact customer name returns unrelated records above the correct match. Finding an account takes much longer than it should.","2026-08-09","","Search","Enterprise","ACCT-057","success-call:FB-081"
"The CSV download includes every selected row and all of our custom columns. It saved our analyst a lot of manual cleanup.","2026-08-09","","Reporting","Mid-market","ACCT-041","in-app-survey:FB-137"
"We usually search for a customer first and then apply a status filter. That sequence is included in our agent training guide.","2026-08-09","","Search","Mid-market","ACCT-026","in-app-survey:FB-170"
"I cannot reach the dashboard through our corporate login today. The identity provider says authentication succeeded, but your page says access denied.","2026-08-10","2","Identity","SMB","ACCT-007","support-ticket:FB-007"
"The invoice total in the portal is correct, but the payment processor took that amount twice. Our finance team is understandably unhappy.","2026-08-10","","Billing","Mid-market","ACCT-029","in-app-survey:FB-029"
"We cannot reliably find cases by their exact title. Relevant results are buried underneath records that barely match the query.","2026-08-10","","Search","Mid-market","ACCT-035","in-app-survey:FB-083"
"We download the reporting data as CSV every Friday and load it into our internal workbook. The file includes the reporting date column.","2026-08-10","","Reporting","Mid-market","ACCT-047","in-app-survey:FB-143"
"Copying a link to a specific discussion is simple and works well for our team. It has made handing over context much easier.","2026-08-10","5","General","SMB","ACCT-007","support-ticket:FB-175"
"We lost an hour of onboarding because the SSO redirect kept sending new users to a blank page instead of their workspace.","2026-08-11","","Identity","Mid-market","ACCT-032","in-app-survey:FB-008"
"We were billed for the annual plan again just a day after the original payment cleared. Please investigate the duplicate collection.","2026-08-11","","Billing","Mid-market","ACCT-030","success-call:FB-030"
"The attachment preview rotates our scanned receipt sideways and offers no way to turn it back. Reading that document in the browser is awkward.","2026-08-11","","General","Enterprise","ACCT-060","success-call:FB-108"
"The retry process recovered every webhook event after our brief outage. We were impressed that nothing was lost.","2026-08-11","5","Integrations","SMB","ACCT-004","support-ticket:FB-148"
"The office uses a shared browser profile on the reception computer. Staff open the workspace from a bookmark at the beginning of the day.","2026-08-11","","General","Mid-market","ACCT-035","in-app-survey:FB-179"
"The company login works on my phone but loops endlessly on the managed laptop. This is stopping me from reviewing the morning queue.","2026-08-12","","Identity","Enterprise","ACCT-057","success-call:FB-009"
"Exporting the filtered report drops the customer identifier column. We cannot join the file to our account records without it.","2026-08-12","2","Reporting","SMB","ACCT-022","support-ticket:FB-046"
"The SAML connection was straightforward to set up, and employees can reach their workspace without remembering another password. Very pleased with it.","2026-08-12","","Identity","Mid-market","ACCT-044","in-app-survey:FB-116"
"The webhook configuration contains the destination URL and selected event types. We maintain a separate endpoint for the test workspace.","2026-08-12","","Integrations","Enterprise","ACCT-057","success-call:FB-153"
"Federated sign-in stopped working after we rotated the signing certificate. The configuration screen accepts the certificate, but every login is rejected.","2026-08-13","2","Identity","SMB","ACCT-010","support-ticket:FB-010"
"The downloaded CSV has fewer rows than the results on screen. There is no warning that the export is incomplete.","2026-08-13","","Reporting","Mid-market","ACCT-047","in-app-survey:FB-047"
"The repeated SSO failures have stopped for our team. Everyone I checked with can sign in normally again, which is a huge relief.","2026-08-13","","Identity","Mid-market","ACCT-026","in-app-survey:FB-122"
"Exact reference searches return the correct record immediately. That reliability is especially useful during live customer calls.","2026-08-13","","Search","Mid-market","ACCT-038","in-app-survey:FB-158"
"Our users keep seeing a SAML response validation error. The lack of a usable sign-in path is holding up today's customer handoff.","2026-08-14","","Identity","Mid-market","ACCT-035","in-app-survey:FB-011"
"We acknowledged the webhook with a successful response, but the platform kept retrying it. The duplicate events are causing unnecessary work.","2026-08-14","","Integrations","Mid-market","ACCT-044","in-app-survey:FB-068"
"The duplicate subscription payment was refunded promptly and the corrected invoice is clear. I am happy with how the billing issue was resolved.","2026-08-14","","Billing","Mid-market","ACCT-032","in-app-survey:FB-128"
"Looking up a project reference brings back the precise record rather than a list of unrelated notes. That is excellent.","2026-08-14","5","Search","SMB","ACCT-019","support-ticket:FB-163"
"Every Monday I have to delete browser storage before single sign-on will let me in. That is not a workable routine for the whole team.","2026-08-15","","Identity","Enterprise","ACCT-060","success-call:FB-012"
"Our endpoint was healthy, yet a batch of webhook events disappeared without a retry. We cannot rely on the integration in its current state.","2026-08-15","","Integrations","Enterprise","ACCT-069","success-call:FB-069"
"Our subscription is billed annually by company card. The billing administrator downloads the renewal invoice for the procurement records.","2026-08-15","3","Billing","Mid-market","ACCT-037","support-ticket:FB-133"
"Our team has stopped keeping a separate lookup spreadsheet because the search results are accurate enough now. That is a meaningful improvement.","2026-08-15","","Search","Mid-market","ACCT-047","in-app-survey:FB-167"
"Adding one seat triggered another charge for the entire subscription. We have effectively paid this month's base fee twice.","2026-08-16","2","Billing","Mid-market","ACCT-028","support-ticket:FB-028"
"The delivery log shows repeated webhook timeouts, but our server never received those requests. We have gaps in the activity feed.","2026-08-16","2","Integrations","SMB","ACCT-022","support-ticket:FB-070"
"Exported totals match the report on screen exactly. That consistency makes the file much easier to trust during monthly review.","2026-08-16","","Reporting","Enterprise","ACCT-066","success-call:FB-138"
"The search results display the record title, customer name and last-updated date. Selecting a result opens the record details.","2026-08-16","","Search","Enterprise","ACCT-051","success-call:FB-171"
"I approve the company login prompt and then get signed out before the dashboard loads. It has happened five times in a row.","2026-08-17","2","Identity","SMB","ACCT-013","support-ticket:FB-013"
"Finance cannot close the month because the subscription has been charged twice and neither invoice is marked as a duplicate.","2026-08-17","","Billing","Mid-market","ACCT-033","success-call:FB-033"
"We are receiving duplicate webhook deliveries hours after the original event was acknowledged. It is cluttering our processing queue.","2026-08-17","2","Integrations","SMB","ACCT-001","support-ticket:FB-073"
"We downloaded a large report without losing any rows. The complete CSV was ready quickly and worked well in our reporting workflow.","2026-08-17","5","Reporting","SMB","ACCT-019","support-ticket:FB-139"
"Our internal documentation includes examples of search queries for account names and case references. New agents practice with those examples.","2026-08-17","3","Search","SMB","ACCT-004","support-ticket:FB-172"
"The identity connection test passes, yet actual employees cannot sign in. We have had to postpone the rollout to our regional teams.","2026-08-18","","Identity","Mid-market","ACCT-038","in-app-survey:FB-014"
"The retry after a payment timeout collected money a second time. The original transaction had actually succeeded, so we are now overcharged.","2026-08-18","2","Billing","Mid-market","ACCT-034","support-ticket:FB-034"
"Search keeps prioritizing archived items over active customer records. Our agents waste time opening the wrong result.","2026-08-18","","Search","Enterprise","ACCT-060","success-call:FB-084"
"The export menu offers a CSV file for the selected report. Our analyst uses that format for the weekly review.","2026-08-18","","Reporting","Enterprise","ACCT-072","success-call:FB-144"
"The newly translated help article answered my question clearly. I appreciated being able to read the explanation in my preferred language.","2026-08-18","","General","Mid-market","ACCT-032","in-app-survey:FB-176"
"Switching between our two company accounts leaves SSO pointing at the wrong workspace. I cannot get into the account I need.","2026-08-19","","Identity","Enterprise","ACCT-063","success-call:FB-015"
"Our saved columns disappear from the CSV download. Finance has to reconstruct the report manually every time, which is frustrating.","2026-08-19","","Reporting","Enterprise","ACCT-072","success-call:FB-048"
"The mobile battery usage has become excessive while the application is idle. My phone loses charge noticeably faster on support days.","2026-08-19","2","General","SMB","ACCT-013","support-ticket:FB-109"
"We have not seen duplicate webhook deliveries this week. Downstream processing is much cleaner, and the integration is working well.","2026-08-19","","Integrations","Mid-market","ACCT-029","in-app-survey:FB-149"
"New employees are getting a forbidden error after their corporate sign-in succeeds. Existing staff can still log in, which makes onboarding especially awkward.","2026-08-20","2","Identity","SMB","ACCT-016","support-ticket:FB-016"
"The export says it completed, but the file ends halfway through the selected reporting period. We cannot use it for the board pack.","2026-08-20","2","Reporting","SMB","ACCT-001","support-ticket:FB-049"
"I no longer get stuck in a login loop. Our corporate sign-in now opens the dashboard immediately, which is a welcome improvement.","2026-08-20","","Identity","Enterprise","ACCT-069","success-call:FB-117"
"The integration team checks webhook delivery records during its weekly review. Event timestamps are copied into our processing log.","2026-08-20","3","Integrations","SMB","ACCT-010","support-ticket:FB-154"
"The SSO callback intermittently returns a server error. Retrying sometimes works, but the repeated failures are disrupting our support shifts.","2026-08-21","","Identity","Mid-market","ACCT-041","in-app-survey:FB-017"
"Customer names display correctly in the report but come out blank in the CSV. This is blocking our segment analysis.","2026-08-21","","Reporting","Mid-market","ACCT-026","in-app-survey:FB-050"
"We use the corporate sign-in option for employees and password authentication for external contractors. There are two identity connections in the workspace.","2026-08-21","","Identity","Enterprise","ACCT-051","success-call:FB-123"
"Search handles small spelling mistakes in customer names surprisingly well. We are very happy with the results.","2026-08-21","","Search","Enterprise","ACCT-063","success-call:FB-159"
"Two identical subscription payments were taken this morning. There is only one active contract on our account, and the extra charge is a problem.","2026-08-22","2","Billing","Mid-market","ACCT-031","support-ticket:FB-031"
"Webhook events are arriving out of order and overwriting newer updates downstream. The integration is producing incorrect state in our system.","2026-08-22","","Integrations","Mid-market","ACCT-047","in-app-survey:FB-071"
"Seat changes now produce a clear prorated invoice instead of another full subscription charge. That is a useful improvement for our finance team.","2026-08-22","","Billing","Mid-market","ACCT-033","success-call:FB-129"
"I no longer have to browse through customer pages to find a conversation. The search results have been consistently useful.","2026-08-22","","Search","Mid-market","ACCT-044","in-app-survey:FB-164"
"Our renewal produced duplicate invoices with different invoice numbers but the same service dates. Both were collected from our card.","2026-08-23","","Billing","Mid-market","ACCT-032","in-app-survey:FB-032"
"A short endpoint outage caused webhook messages to be lost permanently. We expected retries and instead had to rebuild the missing updates manually.","2026-08-23","","Integrations","Enterprise","ACCT-072","success-call:FB-072"
"The invoice lists the subscription period, seat quantity and applicable tax. We retain a copy in our accounting system.","2026-08-23","","Billing","Mid-market","ACCT-038","in-app-survey:FB-134"
"Finding an active customer record is quick and predictable. Search has been one of the most useful parts of the workspace lately.","2026-08-23","","Search","Enterprise","ACCT-072","success-call:FB-168"
"I was logged out during a review and the company login now keeps bouncing between two pages. My team lead has the same problem.","2026-08-24","","Identity","Enterprise","ACCT-066","success-call:FB-018"
"Our accounts team found the same renewal fee on two separate settled transactions. The portal only shows one invoice, making this harder to trace.","2026-08-24","","Billing","Mid-market","ACCT-038","in-app-survey:FB-038"
"A search for a full invoice reference returns nothing, although the linked customer record is present. We have to browse manually.","2026-08-24","2","Search","SMB","ACCT-013","support-ticket:FB-085"
"Our saved report contains account identifiers, case status and a custom region field. Those are the columns selected for export.","2026-08-24","3","Reporting","SMB","ACCT-001","support-ticket:FB-145"
"We changed the workspace logo to the current company mark. Our administrator uploaded a square image from the brand folder.","2026-08-24","","General","Enterprise","ACCT-057","success-call:FB-177"
"We still have several users unable to complete federated sign-in. The temporary private-window workaround is unreliable on our managed browsers.","2026-08-25","2","Identity","SMB","ACCT-019","support-ticket:FB-019"
"The final page of records never appears in the downloaded file. We keep discovering missing entries after sending the report to stakeholders.","2026-08-25","","Reporting","Enterprise","ACCT-051","success-call:FB-051"
"Our legal team cannot find a current data-processing agreement in the account documents. That missing paperwork is delaying the procurement review.","2026-08-25","","General","Mid-market","ACCT-038","in-app-survey:FB-110"
"Our webhook notifications now arrive in the expected order with consistent payloads. That has made the automation much more dependable.","2026-08-25","","Integrations","Enterprise","ACCT-054","success-call:FB-150"
"We have documented the application as one of the tools used by our customer operations team. The document lists an internal owner.","2026-08-25","","General","Enterprise","ACCT-060","success-call:FB-180"
"The sign-in screen says our identity provider is not configured, even though the connection has been active for months. We cannot enter the workspace.","2026-08-26","","Identity","Mid-market","ACCT-044","in-app-survey:FB-020"
"Applying a date filter produces a CSV with the wrong set of rows. The exported totals no longer match the report we approved.","2026-08-26","2","Reporting","SMB","ACCT-004","support-ticket:FB-052"
"We rotated our identity certificate and nobody lost access. The single sign-on transition went much better than we expected.","2026-08-26","5","Identity","SMB","ACCT-022","support-ticket:FB-118"
"Searching by customer name now puts the exact account at the top. It has made our front-line support work noticeably quicker.","2026-08-26","","Search","Mid-market","ACCT-035","in-app-survey:FB-155"
"Corporate login succeeds only after three or four attempts on my account. The delay is minor once, but painful throughout a busy shift.","2026-08-27","","Identity","Enterprise","ACCT-069","success-call:FB-021"
"The report download omits custom fields that are clearly visible on screen. The file is not complete enough for our reporting process.","2026-08-27","","Reporting","Mid-market","ACCT-029","in-app-survey:FB-053"
"The SAML settings page lists an entity identifier, a callback address and the currently uploaded certificate. Our administrator maintains those values.","2026-08-27","3","Identity","SMB","ACCT-004","support-ticket:FB-124"
"Active cases now appear ahead of old archived material when I search. The ranking fits the way our support team works.","2026-08-27","5","Search","SMB","ACCT-016","support-ticket:FB-160"
"We changed the billing contact and immediately received another full subscription charge. Nothing about our plan or seat count changed.","2026-08-28","","Billing","Mid-market","ACCT-035","in-app-survey:FB-035"
"The webhook stream stopped for one of our integrations yesterday. There was no useful delivery error, and our automation missed several changes.","2026-08-28","","Integrations","Mid-market","ACCT-026","in-app-survey:FB-074"
"We have had no duplicate renewal charges this quarter. The predictable subscription billing makes monthly close much simpler.","2026-08-28","5","Billing","Mid-market","ACCT-034","support-ticket:FB-130"
"Search recognizes both the short and full versions of our customer names. It is making account lookups much less tedious.","2026-08-28","","Search","Enterprise","ACCT-069","success-call:FB-165"
"A duplicate annual renewal has tied up a significant amount on our company card. This should not require several rounds of reconciliation.","2026-08-29","","Billing","Mid-market","ACCT-036","success-call:FB-036"
"Delivery latency has made the webhook integration unsuitable for our time-sensitive notifications. Some events arrive long after the customer has moved on.","2026-08-29","","Integrations","Enterprise","ACCT-051","success-call:FB-075"
"The subscription renewal date falls on the fifteenth of the month. Our billing contact receives the invoice by email.","2026-08-29","","Billing","Mid-market","ACCT-039","success-call:FB-135"
"The search page accepts customer names, case titles and reference numbers. Our team uses all three forms of query.","2026-08-29","3","Search","SMB","ACCT-001","support-ticket:FB-169"
"The subscription invoice was paid automatically and then debited again two days later. We need the extra payment corrected.","2026-08-30","2","Billing","Mid-market","ACCT-037","support-ticket:FB-037"
"Retries reuse inconsistent webhook payloads for the same event. Our downstream processing cannot determine which update is authoritative.","2026-08-30","2","Integrations","SMB","ACCT-004","support-ticket:FB-076"
"The export keeps our saved column order and account identifiers intact. It fits our reconciliation process very nicely.","2026-08-30","","Reporting","Mid-market","ACCT-044","in-app-survey:FB-140"
"The implementation specialist understood our workflow and explained the setup clearly. We really appreciated the thoughtful onboarding session.","2026-08-30","","General","Mid-market","ACCT-029","in-app-survey:FB-173"
"An employee returning from leave cannot sign in through SAML. Their identity account is active, but your application rejects the redirect.","2026-08-31","2","Identity","SMB","ACCT-022","support-ticket:FB-022"
"The exported row count is consistently lower than the dashboard count. We have checked the filters, and the missing records are still unexplained.","2026-08-31","","Reporting","Mid-market","ACCT-032","in-app-survey:FB-056"
"An approval in the audit log appears to happen before the request was created. The timestamp offset is making the evidence misleading.","2026-08-31","","Governance","Enterprise","ACCT-065","in-app-survey:FB-089"
"Signing in through Azure AD has been reliable all week. Our support agents are getting into their queues without asking an administrator for help.","2026-08-31","","Identity","Mid-market","ACCT-047","in-app-survey:FB-119"
"The search results are relevant even when I only remember part of a case title. Finding the right record is much easier.","2026-08-31","","Search","Enterprise","ACCT-060","success-call:FB-156"
"Most colleagues can sign in again, but my SSO session still ends on an access-denied page. I remain blocked from the daily review.","2026-09-01","","Identity","Mid-market","ACCT-047","in-app-survey:FB-023"
"A report with all regions selected downloads only the first region. This has led to an incomplete performance summary for leadership.","2026-09-01","","Reporting","Enterprise","ACCT-057","success-call:FB-057"
"Audit entries changed their displayed times after we updated the workspace timezone. Historical event times should not suddenly shift like this.","2026-09-01","","Governance","Enterprise","ACCT-066","success-call:FB-090"
"Our onboarding checklist includes a first login through the company identity provider. New hires complete that step before joining their assigned workspace.","2026-09-01","","Identity","Mid-market","ACCT-029","in-app-survey:FB-125"
"The new search relevance is a real improvement. I usually find the right account without adding several extra filters.","2026-09-01","","Search","Mid-market","ACCT-041","in-app-survey:FB-161"
"I am disappointed that our subscription has been double-billed again. We had exactly the same issue with last month's renewal.","2026-09-02","","Billing","Mid-market","ACCT-039","success-call:FB-039"
"Webhook delivery failed during our peak hour and the missing events were never replayed. The resulting data gap is frustrating.","2026-09-02","","Integrations","Mid-market","ACCT-029","in-app-survey:FB-077"
"Our auditor found a one-hour discrepancy between the audit trail and the system of record. This is holding up the review.","2026-09-02","2","Governance","Enterprise","ACCT-067","support-ticket:FB-091"
"The annual subscription invoice arrived with the correct amount and only one payment was collected. Everything was handled smoothly.","2026-09-02","","Billing","Mid-market","ACCT-035","in-app-survey:FB-131"
"A seat adjustment appears to have restarted the full monthly collection. We now have two charges for the same subscription period.","2026-09-03","2","Billing","Mid-market","ACCT-040","support-ticket:FB-040"
"The webhook endpoint is returning success, but we still receive a fresh retry every few minutes. Duplicate processing is becoming expensive.","2026-09-03","","Integrations","Enterprise","ACCT-054","success-call:FB-078"
"The audit log applies the daylight-saving adjustment twice. Every event in the affected period now shows the wrong time.","2026-09-03","","Governance","Enterprise","ACCT-068","in-app-survey:FB-092"
"We moved the subscription payment method from one corporate card to another. The billing contact remains the same.","2026-09-03","3","Billing","Mid-market","ACCT-040","support-ticket:FB-136"
"We have one workspace and one subscription, but the card has two renewal debits. This is causing an avoidable dispute with our finance team.","2026-09-04","","Billing","Mid-market","ACCT-041","in-app-survey:FB-041"
"The search ranking is still poor for customers with similar names. The exact name match should not be several pages down.","2026-09-04","","Search","Mid-market","ACCT-038","in-app-survey:FB-086"
"Exported audit timestamps differ from the times shown in the audit viewer. We cannot provide a consistent chronology to our compliance team.","2026-09-04","","Governance","Enterprise","ACCT-069","success-call:FB-093"
"Our filtered CSV now contains exactly the customer records we selected. I am pleased with the accuracy of the download.","2026-09-04","","Reporting","Enterprise","ACCT-069","success-call:FB-141"
"Our analysts found hundreds of missing rows in the CSV export. A successful download message should not hide that much lost data.","2026-09-05","","Reporting","Enterprise","ACCT-054","success-call:FB-054"
"Audit-log timestamps are showing actions two hours before they actually happened. We noticed this while preparing evidence for our compliance review.","2026-09-05","","Governance","Enterprise","ACCT-063","success-call:FB-087"
"The audit timestamps match our reference records in both the viewer and the export. That consistency made this week's compliance review much easier.","2026-09-05","1","Governance","Enterprise","ACCT-063","success-call:FB-111"
"The reporting team stores each CSV download in a dated folder. We keep the source report link alongside the file.","2026-09-05","","Reporting","Mid-market","ACCT-026","in-app-survey:FB-146"
"CSV exports are dropping the account segment column again. We cannot compare customer groups using the file as delivered.","2026-09-06","2","Reporting","SMB","ACCT-007","support-ticket:FB-055"
"The audit trail displays UTC as if it were local time. Our compliance team cannot reconcile the recorded times with the actual sequence of events.","2026-09-06","2","Governance","Enterprise","ACCT-064","support-ticket:FB-088"
"The audit trail records an event timestamp, actor and affected record. We compare those fields with our internal change log during review.","2026-09-06","","Governance","Enterprise","ACCT-065","in-app-survey:FB-113"
"We subscribe to status-change webhooks and forward them to an internal queue. The endpoint acknowledges requests before processing the payload.","2026-09-06","3","Integrations","SMB","ACCT-007","support-ticket:FB-151"
"The login loop has returned for one of our regional managers. Approving the company sign-in prompt still sends her straight back to the login form.","2026-09-07","","Identity","Enterprise","ACCT-072","success-call:FB-024"
"The export silently removes columns with long names. We need those fields to reconcile the report and cannot accept the current file.","2026-09-07","2","Reporting","SMB","ACCT-013","support-ticket:FB-061"
"The audit trail places a permission change after its reversal even though we performed them in the opposite order. The displayed times are wrong.","2026-09-07","","Governance","Enterprise","ACCT-071","in-app-survey:FB-095"
"Our audit log labels local timestamps with a UTC suffix. The resulting time discrepancy is unacceptable for our evidence records.","2026-09-07","","Governance","Enterprise","ACCT-054","success-call:FB-102"
"The company login now works consistently on our managed browsers. That has made shift changes noticeably easier for us.","2026-09-07","","Identity","Enterprise","ACCT-072","success-call:FB-120"
"The duplicate charge has not disappeared as a pending authorization; both subscription payments are now settled. We are still out of pocket.","2026-09-08","","Billing","Mid-market","ACCT-042","success-call:FB-042"
"The CSV stops at a fixed row limit with no notice. Several teams have now sent incomplete figures because they trusted the download.","2026-09-08","","Reporting","Mid-market","ACCT-038","in-app-survey:FB-062"
"We discovered that audit timestamps are shifted by five hours on downloaded evidence. That makes the compliance package unreliable.","2026-09-08","","Governance","Enterprise","ACCT-072","success-call:FB-096"
"Daylight-saving changes have shifted the audit trail by an hour. Historical entries no longer match the times in our incident notes.","2026-09-08","2","Governance","Enterprise","ACCT-055","support-ticket:FB-103"
"The sign-in page presents a company-account button above the username and password fields. That is the route our internal documentation describes.","2026-09-08","","Identity","Enterprise","ACCT-054","success-call:FB-126"
"Another pair of identical subscription invoices arrived today. Our procurement team will not approve paying for the same period twice.","2026-09-09","2","Billing","Mid-market","ACCT-043","support-ticket:FB-043"
"Saved report filters are ignored when building the export. The resulting CSV leaves out customer groups that should have been included.","2026-09-09","","Reporting","Enterprise","ACCT-063","success-call:FB-063"
"Changing the reporting timezone moved last week's audit events into the previous calendar day. The event chronology is now incorrect.","2026-09-09","2","Governance","Enterprise","ACCT-049","support-ticket:FB-097"
"The same audit event shows different dates for two administrators viewing from different regions. Neither view indicates that a conversion has been applied.","2026-09-09","","Governance","Enterprise","ACCT-056","in-app-survey:FB-104"
"The portal shows a single renewal, while our bank confirms two completed charges. We cannot reconcile the subscription payment as it stands.","2026-09-10","","Billing","Mid-market","ACCT-044","in-app-survey:FB-044"
"We cannot produce a complete customer report today: every CSV download loses the last few hundred rows. This is now blocking our reporting deadline.","2026-09-10","2","Reporting","SMB","ACCT-016","support-ticket:FB-064"
"The audit viewer and its export disagree on when an administrator changed an account. We need trustworthy timestamps for this review.","2026-09-10","","Governance","Enterprise","ACCT-050","in-app-survey:FB-098"
"Our security review is blocked because audit-log timestamps cannot be reconciled with the original actions. This started appearing in the recent entries.","2026-09-10","","Governance","Enterprise","ACCT-057","success-call:FB-105"
"The latest CSV download is missing both custom columns and the final batch of records. We have had to stop using exports for client reporting.","2026-09-11","2","Reporting","SMB","ACCT-010","support-ticket:FB-058"
"We found another gap in delivered webhook events this week. The receiving service remained available throughout, so this needs investigation.","2026-09-11","2","Integrations","SMB","ACCT-007","support-ticket:FB-079"
"Several audit events appear to have happened in the future because the timezone offset is added twice. Our security team is concerned.","2026-09-11","","Governance","Enterprise","ACCT-051","success-call:FB-099"
"We cannot sign off the audit evidence while timestamps continue to move between the viewer and the export. The inconsistent chronology is a serious concern.","2026-09-11","2","Governance","Enterprise","ACCT-058","support-ticket:FB-106"
"I exported the same report twice and received different row counts. Neither file contains the full set shown in the interface.","2026-09-12","","Reporting","Mid-market","ACCT-035","in-app-survey:FB-059"
"One integration is still getting delayed webhook callbacks while the others work normally. It is holding up the associated customer workflow.","2026-09-12","","Integrations","Mid-market","ACCT-032","in-app-survey:FB-080"
"Audit timestamps around midnight fall under the wrong date in the activity trail. We cannot tell which day's review they belong to.","2026-09-12","2","Governance","Enterprise","ACCT-052","support-ticket:FB-100"
"Timezone offsets are clearly displayed in our audit trail, and the event order is correct. Our auditor was happy with the evidence.","2026-09-12","1","Governance","Enterprise","ACCT-064","support-ticket:FB-112"
"Our weekly review is delayed because the downloaded report excludes closed cases. We selected all statuses, so the exported data is clearly incomplete.","2026-09-13","","Reporting","Enterprise","ACCT-060","success-call:FB-060"
"Audit-log entries are stamped with the viewer's timezone but have no offset indicator. Our regional teams are interpreting the same event differently.","2026-09-13","2","Governance","Enterprise","ACCT-070","support-ticket:FB-094"
"The compliance evidence shows approvals occurring before the related changes. An incorrect timezone conversion seems to have reversed the apparent sequence.","2026-09-13","","Governance","Enterprise","ACCT-053","in-app-survey:FB-101"
"Our compliance team reads audit timestamps in UTC and stores the exported evidence with the review date. Two administrators prepare the files.","2026-09-13","","Governance","Enterprise","ACCT-066","success-call:FB-114"
